 t_27, c_100, s_32, 0.057100, 0.000000, 0.057100
t_31, c_100, s_32, 0.137300, 0.000000, 0.137300
t_59, c_100, s_64, 0.397700, 0.000000, 0.397700
t_63, c_100, s_64, 0.384900, 0.000000, 0.384900
t_91, c_100, s_128, 1.263900, 0.000000, 1.263900
t_95, c_100, s_128, 1.046000, 0.000000, 1.046000
t_123, c_100, s_256, 8.744400, 0.000000, 8.744400
t_127, c_100, s_256, 11.320900, 0.000000, 11.320900
t_19, c_75, s_32, 0.000000, 0.000000, 0.000000
t_23, c_75, s_32, 0.086100, 0.000000, 0.086100
t_51, c_75, s_64, 0.439400, 0.000000, 0.439400
t_55, c_75, s_64, 0.320600, 0.000000, 0.320600
t_87, c_75, s_128, 1.087500, 0.000000, 1.087500
t_119, c_75, s_256, 8.397300, 0.000000, 8.397300
t_11, c_50, s_32, 0.000000, 0.000000, 0.000000
t_15, c_50, s_32, 0.000000, 0.000000, 0.000000
t_47, c_50, s_64, 0.369600, 0.000000, 0.369600
t_75, c_50, s_128, 1.212400, 0.000000, 1.212400
t_79, c_50, s_128, 1.363200, 0.000000, 1.363200
t_111, c_50, s_256, 7.940700, 0.000000, 7.940700
t_3, c_25, s_32, 0.000000, 0.000000, 0.000000
t_7, c_25, s_32, 0.100800, 0.000000, 0.100800
t_35, c_25, s_64, 0.426700, 0.000000, 0.426700
t_39, c_25, s_64, 0.427200, 0.000000, 0.427200
t_71, c_25, s_128, 1.139700, 0.000000, 1.139700
t_103, c_25, s_256, 7.721400, 0.000000, 7.721400
t_67, c_25, s_128, 1.518600, 12.145700, 13.664300
t_43, c_50, s_64, 2.051000, -18.164400, -16.113400
t_83, c_75, s_128, 1.258800, 57.550200, 58.809000
t_115, c_75, s_256, 8.919000, 48.384900, 57.303900
t_107, c_50, s_256, 9.534200, 29.871000, 39.405200
t_99, c_25, s_256, 8.465200, 19.164300, 27.629500
