 t_0, c_25, s_32, 0.049700, 0.000000, 0.049700
t_24, c_100, s_32, 0.047300, 0.000000, 0.047300
t_28, c_100, s_32, 0.094300, 0.000000, 0.094300
t_56, c_100, s_64, 0.144700, 0.000000, 0.144700
t_60, c_100, s_64, 0.169200, 0.000000, 0.169200
t_88, c_100, s_128, 1.169200, 0.000000, 1.169200
t_92, c_100, s_128, 0.946900, 0.000000, 0.946900
t_120, c_100, s_256, 9.425300, 0.000000, 9.425300
t_124, c_100, s_256, 8.451300, 0.000000, 8.451300
t_16, c_75, s_32, 0.054900, 0.000000, 0.054900
t_20, c_75, s_32, 0.056000, 0.000000, 0.056000
t_48, c_75, s_64, 0.182700, 0.000000, 0.182700
t_52, c_75, s_64, 0.285100, 0.000000, 0.285100
t_80, c_75, s_128, 0.954800, 0.000000, 0.954800
t_84, c_75, s_128, 1.212200, 0.000000, 1.212200
t_8, c_50, s_32, 0.141000, 0.000000, 0.141000
t_12, c_50, s_32, 0.084000, 0.000000, 0.084000
t_40, c_50, s_64, 0.301200, 0.000000, 0.301200
t_44, c_50, s_64, 0.415600, 0.000000, 0.415600
t_72, c_50, s_128, 1.141300, 0.000000, 1.141300
t_76, c_50, s_128, 1.200600, 0.000000, 1.200600
t_4, c_25, s_32, 0.078600, 0.000000, 0.078600
t_32, c_25, s_64, 0.333000, 0.000000, 0.333000
t_36, c_25, s_64, 0.404300, 0.000000, 0.404300
t_64, c_25, s_128, 1.298600, 0.000000, 1.298600
t_68, c_25, s_128, 1.354300, 0.000000, 1.354300
t_100, c_25, s_256, 7.665600, 0.000000, 7.665600
t_116, c_75, s_256, 9.223600, 36.305100, 45.528700
t_108, c_50, s_256, 8.288300, 6.330900, 14.619200
t_104, c_50, s_256, 7.983600, -18.639900, -10.656300
t_112, c_75, s_256, 7.578200, 44.145600, 51.723800
t_96, c_25, s_256, 8.095600, 23.792700, 31.888300
