group_name,mean_cpu_time,mean_wait_time,mean_exec_time
c_100_m_128,19507.8735,0.0,19507.8735
c_100_m_256,178280.411875,931629.49925,1109909.911125
c_100_m_32,388.24425,0.0,388.24425
c_100_m_64,2589.34275,0.0,2589.34275
c_25_m_128,21037.471625,144850.762625,165888.23425
c_25_m_256,178294.785375,1411477.52725,1589772.312625
c_25_m_32,399.16675,0.0,399.16675
c_25_m_64,2531.6065,0.0,2531.6065
c_50_m_128,19621.79475,0.0,19621.79475
c_50_m_256,177161.06725,1252392.24425,1429553.3115
c_50_m_32,389.297,0.0,389.297
c_50_m_64,2526.323875,0.0,2526.323875
c_75_m_128,19536.9595,0.0,19536.9595
c_75_m_256,176446.497875,1060053.86125,1236500.359125
c_75_m_32,383.815625,0.0,383.815625
c_75_m_64,2600.31975,0.0,2600.31975
