 t_2, c_25, s_32, 0.047600, 0.000000, 0.047600
t_26, c_100, s_32, 0.045400, 0.000000, 0.045400
t_30, c_100, s_32, 0.058200, 0.000000, 0.058200
t_58, c_100, s_64, 0.406200, 0.000000, 0.406200
t_62, c_100, s_64, 0.363900, 0.000000, 0.363900
t_90, c_100, s_128, 1.340700, 0.000000, 1.340700
t_94, c_100, s_128, 1.227700, 0.000000, 1.227700
t_122, c_100, s_256, 8.781800, 0.000000, 8.781800
t_126, c_100, s_256, 11.351600, 0.000000, 11.351600
t_18, c_75, s_32, 0.064600, 0.000000, 0.064600
t_22, c_75, s_32, 0.054100, 0.000000, 0.054100
t_50, c_75, s_64, 0.207200, 0.000000, 0.207200
t_54, c_75, s_64, 0.206500, 0.000000, 0.206500
t_82, c_75, s_128, 1.457600, 0.000000, 1.457600
t_86, c_75, s_128, 1.014800, 0.000000, 1.014800
t_114, c_75, s_256, 10.256400, 0.000000, 10.256400
t_118, c_75, s_256, 6.774500, 0.000000, 6.774500
t_10, c_50, s_32, 0.053900, 0.000000, 0.053900
t_14, c_50, s_32, 0.051700, 0.000000, 0.051700
t_42, c_50, s_64, 0.384700, 0.000000, 0.384700
t_46, c_50, s_64, 0.414000, 0.000000, 0.414000
t_74, c_50, s_128, 0.861200, 0.000000, 0.861200
t_78, c_50, s_128, 0.880300, 0.000000, 0.880300
t_6, c_25, s_32, 0.092900, 0.000000, 0.092900
t_34, c_25, s_64, 0.160200, 0.000000, 0.160200
t_38, c_25, s_64, 0.155300, 0.000000, 0.155300
t_66, c_25, s_128, 0.899800, 0.000000, 0.899800
t_70, c_25, s_128, 0.854700, 0.000000, 0.854700
t_98, c_25, s_256, 6.767500, 0.000000, 6.767500
t_106, c_50, s_256, 7.084400, 19.141100, 26.225500
t_110, c_50, s_256, 9.290000, 15.666600, 24.956600
t_102, c_25, s_256, 7.501200, 5.845000, 13.346200
