HELLO?t_2, c_25, s_32, 0.125748, 0.000000, 0.125748
t_6, c_25, s_32, 0.106187, 0.000000, 0.106187
t_10, c_50, s_32, 0.093004, 0.000000, 0.093004
t_14, c_50, s_32, 0.102159, 0.000000, 0.102159
t_18, c_75, s_32, 0.087785, 0.000000, 0.087785
t_22, c_75, s_32, 0.092149, 0.000000, 0.092149
t_26, c_100, s_32, 0.107092, 0.000000, 0.107092
t_30, c_100, s_32, 0.110176, 0.000000, 0.110176
t_34, c_25, s_64, 0.776139, 0.000000, 0.776139
t_58, c_100, s_64, 0.785601, 0.000000, 0.785601
t_62, c_100, s_64, 0.794920, 0.000000, 0.794920
t_90, c_100, s_128, 5.574148, 0.000000, 5.574148
t_94, c_100, s_128, 5.668226, 0.000000, 5.668226
t_54, c_75, s_64, 0.751111, 0.000000, 0.751111
t_82, c_75, s_128, 5.613952, 0.000000, 5.613952
t_42, c_50, s_64, 0.819449, 0.000000, 0.819449
t_46, c_50, s_64, 0.810198, 0.000000, 0.810198
t_38, c_25, s_64, 0.773254, 0.000000, 0.773254
t_86, c_75, s_128, 5.643215, 41.607973, 47.251188
t_50, c_75, s_64, 0.803960, 53.811783, 54.615743
t_74, c_50, s_128, 5.618104, 71.720798, 77.338902
t_78, c_50, s_128, 5.717273, 70.133877, 75.851150
t_66, c_25, s_128, 5.674248, 79.079098, 84.753346
t_70, c_25, s_128, 5.579557, 79.084509, 84.664066
t_118, c_75, s_256, 43.708552, 173.742394, 217.450946
t_122, c_100, s_256, 52.010696, 226.371678, 278.382374
t_98, c_25, s_256, 44.520375, 279.447896, 323.968271
t_102, c_25, s_256, 43.784585, 269.531192, 313.315777
t_126, c_100, s_256, 44.449473, 324.664987, 369.114460
t_110, c_50, s_256, 44.986169, 306.611326, 351.597495
t_114, c_75, s_256, 44.593130, 327.803533, 372.396663
t_106, c_50, s_256, 43.993801, 320.435485, 364.429286
