HELLO?t_27, c_100, s_32, 0.000000, 0.000000, 0.000000
t_31, c_100, s_32, 0.000000, 0.000000, 0.000000
t_59, c_100, s_64, 0.000000, 0.000000, 0.000000
t_63, c_100, s_64, 0.000000, 0.000000, 0.000000
t_91, c_100, s_128, 7.767204, 0.000000, 7.767204
t_95, c_100, s_128, 5.692808, 0.000000, 5.692808
t_19, c_75, s_32, 0.179748, 0.000000, 0.179748
t_23, c_75, s_32, 0.161056, 0.000000, 0.161056
t_51, c_75, s_64, 0.796570, 0.000000, 0.796570
t_55, c_75, s_64, 0.796431, 0.000000, 0.796431
t_87, c_75, s_128, 5.621910, 0.000000, 5.621910
t_11, c_50, s_32, 0.141052, 0.000000, 0.141052
t_15, c_50, s_32, 0.152701, 0.000000, 0.152701
t_43, c_50, s_64, 0.802909, 0.000000, 0.802909
t_79, c_50, s_128, 5.962896, 0.000000, 5.962896
t_3, c_25, s_32, 0.170712, 0.000000, 0.170712
t_7, c_25, s_32, 0.182601, 0.000000, 0.182601
t_35, c_25, s_64, 0.808384, 0.000000, 0.808384
t_39, c_25, s_64, 0.811351, 0.000000, 0.811351
t_47, c_50, s_64, 0.651448, 35.875583, 36.527031
t_83, c_75, s_128, 5.977721, 51.135107, 57.112828
t_71, c_25, s_128, 5.735543, 46.724285, 52.459828
t_75, c_50, s_128, 6.000761, 117.103343, 123.104104
t_67, c_25, s_128, 5.672797, 100.789764, 106.462561
t_123, c_100, s_256, 41.186596, 240.054339, 281.240935
t_111, c_50, s_256, 42.862480, 220.043486, 262.905966
t_99, c_25, s_256, 46.968012, 270.539128, 317.507140
t_127, c_100, s_256, 44.962414, 321.505174, 366.467588
t_103, c_25, s_256, 42.998799, 285.541218, 328.540017
t_119, c_75, s_256, 44.763424, 334.272455, 379.035879
t_107, c_50, s_256, 42.928505, 321.245193, 364.173698
t_115, c_75, s_256, 54.867048, 332.183236, 387.050284
