HELLO?t_0, c_25, s_32, 0.101355, 0.000000, 0.101355
t_4, c_25, s_32, 0.103604, 0.000000, 0.103604
t_8, c_50, s_32, 0.106117, 0.000000, 0.106117
t_12, c_50, s_32, 0.094783, 0.000000, 0.094783
t_16, c_75, s_32, 0.094065, 0.000000, 0.094065
t_20, c_75, s_32, 0.095951, 0.000000, 0.095951
t_24, c_100, s_32, 0.099024, 0.000000, 0.099024
t_28, c_100, s_32, 0.112429, 0.000000, 0.112429
t_48, c_75, s_64, 0.816184, 0.000000, 0.816184
t_56, c_100, s_64, 0.811016, 0.000000, 0.811016
t_60, c_100, s_64, 0.790685, 0.000000, 0.790685
t_88, c_100, s_128, 5.680573, 0.000000, 5.680573
t_92, c_100, s_128, 5.872189, 0.000000, 5.872189
t_80, c_75, s_128, 5.675521, 0.000000, 5.675521
t_84, c_75, s_128, 5.624895, 0.000000, 5.624895
t_40, c_50, s_64, 0.867017, 0.000000, 0.867017
t_72, c_50, s_128, 6.283031, 0.000000, 6.283031
t_36, c_25, s_64, 0.850501, 0.000000, 0.850501
t_68, c_25, s_128, 5.612516, 0.000000, 5.612516
t_44, c_50, s_64, 0.912684, 44.548081, 45.460765
t_32, c_25, s_64, 0.808493, 17.704160, 18.512653
t_52, c_75, s_64, 0.819475, 68.260272, 69.079747
t_76, c_50, s_128, 6.631980, 37.848179, 44.480159
t_64, c_25, s_128, 5.863307, 161.696145, 167.559452
t_104, c_50, s_256, 45.592429, 175.265951, 220.858380
t_116, c_75, s_256, 44.424630, 268.945256, 313.369886
t_96, c_25, s_256, 44.430366, 247.694675, 292.125041
t_100, c_25, s_256, 43.939008, 247.241113, 291.180121
t_112, c_75, s_256, 44.392305, 310.642642, 355.034947
t_120, c_100, s_256, 44.300448, 354.095475, 398.395923
t_108, c_50, s_256, 44.350977, 302.062606, 346.413583
t_124, c_100, s_256, 44.283475, 345.229954, 389.513429
