group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c_25_m_128,35,20811.143,0.0,20811.143
c_25_m_128,39,19779.164,0.0,19779.164
c_50_m_128,43,19775.697,0.0,19775.697
c_50_m_128,47,19893.776,0.0,19893.776
c_75_m_128,51,19662.494,0.0,19662.494
c_75_m_128,55,19576.529,0.0,19576.529
c_100_m_128,59,19563.833,0.0,19563.833
c_100_m_128,63,19632.384,0.0,19632.384
c_25_m_64,67,2694.85,0.0,2694.85
c_25_m_64,71,2515.586,0.0,2515.586
c_50_m_64,75,2565.893,0.0,2565.893
c_50_m_64,79,2544.882,0.0,2544.882
c_75_m_64,83,2568.583,0.0,2568.583
c_75_m_64,87,2567.505,0.0,2567.505
c_100_m_64,91,2635.959,0.0,2635.959
c_100_m_64,95,2563.263,0.0,2563.263
c_25_m_32,99,415.1,0.0,415.1
c_25_m_32,103,407.794,0.0,407.794
c_50_m_32,107,384.345,0.0,384.345
c_50_m_32,111,408.115,0.0,408.115
c_75_m_32,115,403.645,0.0,403.645
c_75_m_32,119,408.172,0.0,408.172
c_100_m_32,123,384.312,0.0,384.312
c_100_m_32,127,399.384,0.0,399.384
c_75_m_256,19,174375.76,505123.32,679499.08
c_100_m_256,31,168556.316,325760.6,494316.916
c_50_m_256,15,166757.69,806775.325,973533.015
c_75_m_256,23,187509.952,699082.99,886592.942
c_100_m_256,27,167919.91,670600.149,838520.059
c_25_m_256,3,169404.448,1315376.172,1484780.62
c_50_m_256,11,167029.775,1140231.229,1307261.004
c_25_m_256,7,168959.231,1279052.434,1448011.665
c_25_m_128,32,19416.294,0.0,19416.294
c_25_m_128,36,19366.121,0.0,19366.121
c_50_m_128,40,19503.562,0.0,19503.562
c_50_m_128,44,19368.696,0.0,19368.696
c_75_m_128,48,19393.253,0.0,19393.253
c_75_m_128,52,19437.142,0.0,19437.142
c_100_m_128,56,19394.06,0.0,19394.06
c_100_m_128,60,19438.954,0.0,19438.954
c_25_m_64,64,2503.401,0.0,2503.401
c_25_m_64,68,2476.073,0.0,2476.073
c_50_m_64,72,2509.726,0.0,2509.726
c_50_m_64,76,2522.482,0.0,2522.482
c_75_m_64,80,2509.869,0.0,2509.869
c_75_m_64,84,2489.232,0.0,2489.232
c_100_m_64,88,2500.269,0.0,2500.269
c_100_m_64,92,2474.755,0.0,2474.755
c_25_m_32,96,351.034,0.0,351.034
c_25_m_32,100,380.515,0.0,380.515
c_50_m_32,104,384.181,0.0,384.181
c_50_m_32,108,380.904,0.0,380.904
c_75_m_32,112,346.296,0.0,346.296
c_75_m_32,116,360.177,0.0,360.177
c_100_m_32,120,384.914,0.0,384.914
c_100_m_32,124,360.363,0.0,360.363
c_50_m_256,12,169155.349,1630770.89,1799926.239
c_25_m_256,0,167794.501,1831124.242,1998918.743
c_50_m_256,8,167643.709,1795830.876,1963474.585
c_75_m_256,16,167307.3,1721591.766,1888899.066
c_100_m_256,24,165857.552,625135.925,790993.477
c_100_m_256,28,165711.634,1612757.773,1778469.407
c_75_m_256,20,177428.015,765913.348,943341.363
c_25_m_256,4,167095.935,1000536.081,1167632.016
c_25_m_128,33,19318.11,0.0,19318.11
c_25_m_128,37,19338.376,0.0,19338.376
c_50_m_128,41,19526.915,0.0,19526.915
c_50_m_128,45,19401.031,0.0,19401.031
c_75_m_128,49,19355.086,0.0,19355.086
c_75_m_128,53,19373.793,0.0,19373.793
c_100_m_128,57,19554.73,0.0,19554.73
c_100_m_128,61,19498.331,0.0,19498.331
c_25_m_64,65,2559.296,0.0,2559.296
c_25_m_64,69,2486.284,0.0,2486.284
c_50_m_64,73,2521.633,0.0,2521.633
c_50_m_64,77,2596.607,0.0,2596.607
c_75_m_64,81,2469.112,0.0,2469.112
c_75_m_64,85,2683.937,0.0,2683.937
c_100_m_64,89,2491.779,0.0,2491.779
c_100_m_64,93,2465.978,0.0,2465.978
c_25_m_32,97,356.392,0.0,356.392
c_25_m_32,101,366.079,0.0,366.079
c_50_m_32,105,370.545,0.0,370.545
c_50_m_32,109,339.142,0.0,339.142
c_75_m_32,113,412.846,0.0,412.846
c_75_m_32,117,351.305,0.0,351.305
c_100_m_32,121,352.509,0.0,352.509
c_100_m_32,125,356.684,0.0,356.684
c_100_m_256,29,168159.077,532343.64,700502.717
c_75_m_256,17,170023.264,1567885.48,1737908.744
c_100_m_256,25,165057.293,714565.569,879622.862
c_25_m_256,5,167354.704,1949339.883,2116694.587
c_50_m_256,13,166465.472,794094.54,960560.012
c_75_m_256,21,174796.728,1813185.424,1987982.152
c_50_m_256,9,169202.799,1113128.659,1282331.458
c_25_m_256,1,166407.373,1068353.228,1234760.601
c_25_m_128,34,19383.024,0.0,19383.024
c_25_m_128,38,19487.438,0.0,19487.438
c_50_m_128,42,19729.659,0.0,19729.659
c_50_m_128,46,19496.238,0.0,19496.238
c_75_m_128,50,19849.1,0.0,19849.1
c_75_m_128,54,19830.195,0.0,19830.195
c_100_m_128,58,19517.487,0.0,19517.487
c_100_m_128,62,19623.477,0.0,19623.477
c_25_m_64,66,2470.387,0.0,2470.387
c_25_m_64,70,2541.465,0.0,2541.465
c_50_m_64,74,2544.945,0.0,2544.945
c_50_m_64,78,2474.396,0.0,2474.396
c_75_m_64,82,2483.054,0.0,2483.054
c_75_m_64,86,2473.195,0.0,2473.195
c_100_m_64,90,2484.639,0.0,2484.639
c_100_m_64,94,2665.652,0.0,2665.652
c_25_m_32,98,360.811,0.0,360.811
c_25_m_32,102,340.324,0.0,340.324
c_50_m_32,106,343.346,0.0,343.346
c_50_m_32,110,353.438,0.0,353.438
c_75_m_32,114,342.815,0.0,342.815
c_75_m_32,118,338.475,0.0,338.475
c_100_m_32,122,402.998,0.0,402.998
c_100_m_32,126,413.957,0.0,413.957
c_25_m_256,2,171293.766,1814465.502,1985759.268
c_100_m_256,26,168909.809,1721769.407,1890679.216
c_50_m_256,14,167807.87,1931587.313,2099395.183
c_75_m_256,18,167887.445,1911075.46,2078962.905
c_75_m_256,22,170144.416,773120.894,943265.31
c_50_m_256,10,165580.553,940125.48,1105706.033
c_100_m_256,30,168736.918,833762.209,1002499.127
c_25_m_256,6,164748.74,1179646.221,1344394.961
